ts,dseq,profile,provider_owner,gpu_model,mode,bid_price_uact_per_block,reachable,time_to_ready_seconds,bench_seconds,failure_reason,endpoint
2026-08-30T14:55:18.434847+00:00,1788101718738,cpu-micro,akash15tl6v6gd0nte0syyxnv57zmmspgju4c3xfmdhk,,cheapest,2.954114,False,,,never_reachable,
2026-09-02T00:20:39.707788+00:00,1788308439894,cpu-micro,akash16yr3wxt97ae045a06kr3ycde9srcgpg8syjxxm,,coverage,2.954114,True,102.4,56.92,,
2026-09-02T07:03:17.670373+00:00,1788332597938,cpu-heavy,akash1hgulk6aekakqzc0v6wukrd3dy9n90f5gkl4ezk,,coverage,46.0,True,45.6,15.301,,http://grj0akd80te5ffqpoarecb0qas.ingress.h4i-dedicated.eu-sw-2.digitalfrontier.so
2026-09-02T14:22:49.336745+00:00,1788358969472,gpu,akash1al463a2f6jvf506e73hx0329fwgwz66r7cpkhr,rtx5090,coverage,1194.415562,True,33.2,4.263,,http://mfbav1pbltbuh87e28febs26sc.ingress.5090.mel.val.akash.pub
2026-09-02T20:57:52.906702+00:00,1788382673104,cpu-micro,akash1cg7nnkwy8yzulr6x5egn7n06pgthz5wu5auvvv,,cheapest,5.466273,True,66.1,9.008,,http://i6esur2h5hdqncm39b79ppr5u4.ingress.cpu.lax.lsn.akash.pub
2026-09-03T00:06:15.561724+00:00,1788393975750,cpu-heavy,akash19tp6w64zvdvdh26pv5lyf4f40llnqthgfy0t48,,cheapest,46.0,False,,,never_reachable,http://549c6tof4pb4fbpt2fi1234m58.ingress.akash.metz.live
2026-09-03T07:07:19.813682+00:00,1788419240139,gpu,akash1uezxmc39c9uky9plqdvmnzp7yfwpyamjtq9g2w,pro6000se,coverage,3400.696426,True,38.1,3.55,,http://c7549gaeu59snaud72svpouem0.ingress.pro6000.hou.aes.akash.pub
2026-09-03T12:47:22.890238+00:00,1788439643116,cpu-micro,akash1s3hq36mpas4nmkqasn7fgwhs9968cgl3u5esnw,,coverage,3.214866,False,,,never_reachable,http://79c463ocplebjefembqafbcbig.ingress.froggy-servers.com
2026-09-03T17:48:34.334251+00:00,1788457714744,cpu-heavy,akash19tp6w64zvdvdh26pv5lyf4f40llnqthgfy0t48,,cheapest,46.0,False,,,never_reachable,http://2jtc09u8rt8n5enfu6b3brsi60.ingress.akash.metz.live
